file rG rSD pval t1 t2 trait1 trait2 origorder1 origorder2 fdr meas
GENCX-12-14-reorder-cut0025.hsq -0.4378 0.275593 0.042023 12 14 L_Retrosplenial-cortex L_Superior-frontal-gyrus 12 14 0.117064071428571 area
GENCX-13-14-reorder-cut0025.hsq -0.467986 0.445168 0.13347 13 14 L_Temporal-pole_Inferior-temporal-gyrus L_Superior-frontal-gyrus 13 14 0.21688875 area
GENCX-15-16-reorder-cut0025.hsq 0.149032 0.282809 0.31529 01 02 R_Superior-temporal-sulcus R_Lateral-occipital 15 16 0.438809302325581 thickness
GENCX-15-18-reorder-cut0025.hsq -0.10167 0.296073 0.35781 01 04 R_Superior-temporal-sulcus R_Posterior-insula_Sylvian 15 18 0.438809302325581 thickness
GENCX-15-19-reorder-cut0025.hsq 0.220668 0.329473 0.26566 01 05 R_Superior-temporal-sulcus R_Entorhinal 15 19 0.438809302325581 thickness
GENCX-15-20-reorder-cut0025.hsq 0.20343 0.334114 0.28671 01 06 R_Superior-temporal-sulcus R_Superior-insula 15 20 0.438809302325581 thickness
GENCX-15-21-reorder-cut0025.hsq 0.48535 0.291866 0.090436 01 07 R_Superior-temporal-sulcus R_Planum-temporale 15 21 0.360586666666667 thickness
GENCX-15-23-reorder-cut0025.hsq 0.377425 0.294964 0.11996 01 09 R_Superior-temporal-sulcus R_Anterior-insula 15 23 0.360586666666667 thickness
GENCX-15-29-reorder-cut0025.hsq 0.425223 0.327389 0.12613 01 15 R_Superior-temporal-sulcus L_Collateral-sulcus 15 29 0.360586666666667 thickness
GENCX-15-30-reorder-cut0025.hsq -0.353193 0.367712 0.13013 01 16 R_Superior-temporal-sulcus L_Anterior-transverse-collateral-sulcus 15 30 0.360586666666667 thickness
GENCX-15-34-reorder-cut0025.hsq 0.083178 0.264022 0.37993 01 20 R_Superior-temporal-sulcus L_Calcarine-sulcus 15 34 0.438809302325581 thickness
GENCX-16-18-reorder-cut0025.hsq 0.036132 0.239411 0.44069 02 04 R_Lateral-occipital R_Posterior-insula_Sylvian 16 18 0.47076 thickness
GENCX-16-19-reorder-cut0025.hsq 0.119605 0.305001 0.35488 02 05 R_Lateral-occipital R_Entorhinal 16 19 0.438809302325581 thickness
GENCX-16-20-reorder-cut0025.hsq 0.712047 0.293356 0.011723 02 06 R_Lateral-occipital R_Superior-insula 16 20 0.19216 thickness
GENCX-16-21-reorder-cut0025.hsq 0.407526 0.279332 0.096672 02 07 R_Lateral-occipital R_Planum-temporale 16 21 0.360586666666667 thickness
GENCX-16-23-reorder-cut0025.hsq 0.221468 0.271205 0.21945 02 09 R_Lateral-occipital R_Anterior-insula 16 23 0.438809302325581 thickness
GENCX-16-29-reorder-cut0025.hsq 0.029546 0.317049 0.46396 02 15 R_Lateral-occipital L_Collateral-sulcus 16 29 0.47076 thickness
GENCX-16-30-reorder-cut0025.hsq 0.086727 0.260179 0.37551 02 16 R_Lateral-occipital L_Anterior-transverse-collateral-sulcus 16 30 0.438809302325581 thickness
GENCX-16-34-reorder-cut0025.hsq 0.064948 0.234353 0.3931 02 20 R_Lateral-occipital L_Calcarine-sulcus 16 34 0.438809302325581 thickness
GENCX-18-19-reorder-cut0025.hsq 0.375621 0.289879 0.094675 04 05 R_Posterior-insula_Sylvian R_Entorhinal 18 19 0.360586666666667 thickness
GENCX-18-20-reorder-cut0025.hsq 0.405886 0.263017 0.075363 04 06 R_Posterior-insula_Sylvian R_Superior-insula 18 20 0.360586666666667 thickness
GENCX-18-21-reorder-cut0025.hsq 0.542721 0.276601 0.028453 04 07 R_Posterior-insula_Sylvian R_Planum-temporale 18 21 0.24304 thickness
GENCX-18-23-reorder-cut0025.hsq 0.163412 0.249276 0.2623 04 09 R_Posterior-insula_Sylvian R_Anterior-insula 18 23 0.438809302325581 thickness
GENCX-18-29-reorder-cut0025.hsq 0.357155 0.280356 0.10612 04 15 R_Posterior-insula_Sylvian L_Collateral-sulcus 18 29 0.360586666666667 thickness
GENCX-18-30-reorder-cut0025.hsq 0.304352 0.237896 0.10548 04 16 R_Posterior-insula_Sylvian L_Anterior-transverse-collateral-sulcus 18 30 0.360586666666667 thickness
GENCX-18-34-reorder-cut0025.hsq -0.176535 0.236744 0.21421 04 20 R_Posterior-insula_Sylvian L_Calcarine-sulcus 18 34 0.438809302325581 thickness
