,R_Superior-temporal-sulcus,R_Lateral-occipital,R_Lingual-gyrus,R_Posterior-insula_Sylvian,R_Entorhinal,R_Superior-insula,R_Planum-temporale,R_Posterior-cingulate,R_Anterior-insula,L_Cingulate,L_Superior-frontal-gyrus,L_Postcentral,L_Precentral,L_Supplementary-motor-cortex,L_Collateral-sulcus,L_Anterior-transverse-collateral-sulcus,L_Caudal-middle-frontal,L_Caudal-superior-frontal,L_Rostral-superior-frontal,L_Calcarine-sulcus
L_Superior-frontal-gyrus,148.78019540084944,177.09134779919097,147.9880025013937,120.2094960772884,140.35332321626103,111.23915315486386,143.58848688385692,141.00814234800305,88.3519165683628,57.767355756855125,0.0,104.10854857631412,73.53405041508091,50.8698073239505,161.22633087409793,177.26490078831407,29.32915550077398,60.790209246902954,42.01195944514003,138.7728318276545
L_Postcentral,52.31979484251247,79.5595552350379,133.3805902868753,30.247815873931305,113.34395009176872,63.17103809828044,28.606703286060785,99.68304356488643,95.63242197092501,109.73541502142764,98.09054609412536,0.0,35.65880414417174,52.81718804008374,143.4600467738056,136.6629263852441,81.94817503979961,96.56502275601319,156.20701012873272,119.52745800524204
L_Precentral,66.22550992143927,117.58047904827086,139.41355213876403,31.614988615074644,93.08877536433644,41.922440558711415,56.955370457631645,146.54108552358477,52.297021881599726,129.9948766853371,75.6597920694034,29.13883130148524,0.0,68.91661849369419,135.6157353750743,133.9946997783325,41.77130726916605,107.2979791642921,117.20970660725878,153.05885972725792
L_Supplementary-motor-cortex,102.95788793136225,118.37703479737523,122.18241995853415,88.80994544474629,141.4563431674608,117.30654385796352,92.92018247786953,97.90619718886855,126.19616060199314,71.41601104316688,33.581405434276455,50.3862022855898,63.76151235044984,0.0,137.5650836431168,166.6604544303591,61.8990137923633,34.66544466964062,101.69398565260086,112.6046726864464
L_Collateral-sulcus,62.9722863185454,21.632094572737234,11.013951507594026,103.50369580298444,18.41159822289592,87.39286380206345,109.00705166631147,48.89349720233282,86.59421416227131,46.72944249188498,155.26783513093858,137.59733034745156,134.58426012961615,137.28301859117002,0.0,23.871761967521373,168.09018392546562,107.05373428757629,159.52959573340814,24.956052259773408
L_Anterior-transverse-collateral-sulcus,35.49500309363526,40.76359318481708,39.36061434357013,96.25413215714377,14.325301499766534,80.15267024256008,90.72463035961177,74.1485620107541,79.3616827920905,71.6827117875807,171.0985438423396,128.64658573810854,127.34601228470602,162.12952333298543,20.832952103927198,0.0,160.85765255528494,131.89948079259148,153.89535447993637,50.34427127120107
L_Caudal-middle-frontal,119.93438315931424,170.9352326620503,163.8650641583558,85.03789440656043,117.79564315132201,83.36655469032581,110.32643076651179,164.64268809235375,64.55627852027315,89.89769380304448,25.714210050522155,71.83551967686088,37.26468536504541,55.82345245718438,160.31374202807288,158.69270643133092,0.0,80.97126043160183,69.63996696517097,165.5415997247311
L_Caudal-superior-frontal,119.17514471127845,121.321438773342,89.12783425179403,127.3121416954696,108.40175746072056,153.51094445296,119.97193577452842,81.45325848026123,144.22081866631387,31.190566015314985,41.411416432511714,79.47073073451551,97.54737915451636,27.577882563938065,104.51132236622432,133.61280106776874,80.54916621593904,0.0,73.04802935117773,79.6830500275546
L_Rostral-superior-frontal,132.2651060803019,179.72851887545283,147.08457548247114,135.7046380473591,112.54430659170791,114.47209895980153,172.30451204726893,141.96044235867225,83.43173569182808,23.192144979957604,13.52412156125737,148.40078321640897,107.48236586399123,98.36711874089457,153.46503490921606,153.44136987171686,62.49049229239468,79.60028644385658,0.0,138.84606153526374
L_Calcarine-sulcus,95.37216085074685,42.238915756180866,6.140400229411068,122.90934424493966,39.65867426727459,107.02179115443639,122.52087524354235,12.384284995056184,106.22314151464427,18.050897575053906,131.48059951571216,107.62152502937194,150.36934571744513,110.51141442697997,34.288144777973805,62.5224610246146,168.76901561462887,83.21446031015404,140.48637231047218,0.0
