Sub_ID age hemi ageHemi sex_demean
sub-031515 -8.74418604651163 1 -8.74418604651163 -0.365448504983389
sub-031515 -8.74418604651163 0 0 -0.365448504983389
sub-031516 -4.74418604651163 1 -4.74418604651163 0.634551495016611
sub-031516 -4.74418604651163 0 0 0.634551495016611
sub-031517 -2.74418604651163 1 -2.74418604651163 0.634551495016611
sub-031517 -2.74418604651163 0 0 0.634551495016611
sub-031518 -3.74418604651163 1 -3.74418604651163 0.634551495016611
sub-031518 -3.74418604651163 0 0 0.634551495016611
sub-031519 -3.74418604651163 1 -3.74418604651163 -0.365448504983389
sub-031519 -3.74418604651163 0 0 -0.365448504983389
sub-031520 -3.74418604651163 1 -3.74418604651163 0.634551495016611
sub-031520 -3.74418604651163 0 0 0.634551495016611
sub-031521 -4.74418604651163 1 -4.74418604651163 0.634551495016611
sub-031521 -4.74418604651163 0 0 0.634551495016611
sub-031522 3.25581395348837 1 3.25581395348837 -0.365448504983389
sub-031522 3.25581395348837 0 0 -0.365448504983389
sub-031523 -6.74418604651163 1 -6.74418604651163 -0.365448504983389
sub-031523 -6.74418604651163 0 0 -0.365448504983389
sub-031524 -6.74418604651163 1 -6.74418604651163 0.634551495016611
sub-031524 -6.74418604651163 0 0 0.634551495016611
sub-031525 13.2558139534884 1 13.2558139534884 -0.365448504983389
sub-031525 13.2558139534884 0 0 -0.365448504983389
sub-031526 12.2558139534884 1 12.2558139534884 -0.365448504983389
sub-031526 12.2558139534884 0 0 -0.365448504983389
sub-031527 -10.7441860465116 1 -10.7441860465116 0.634551495016611
sub-031527 -10.7441860465116 0 0 0.634551495016611
sub-031528 11.2558139534884 1 11.2558139534884 -0.365448504983389
sub-031528 11.2558139534884 0 0 -0.365448504983389
sub-031529 -3.74418604651163 1 -3.74418604651163 0.634551495016611
sub-031529 -3.74418604651163 0 0 0.634551495016611
sub-031530 13.2558139534884 1 13.2558139534884 -0.365448504983389
sub-031530 13.2558139534884 0 0 -0.365448504983389
sub-031532 18.2558139534884 1 18.2558139534884 -0.365448504983389
sub-031532 18.2558139534884 0 0 -0.365448504983389
sub-031533 -3.74418604651163 1 -3.74418604651163 -0.365448504983389
sub-031533 -3.74418604651163 0 0 -0.365448504983389
sub-031534 -1.74418604651163 1 -1.74418604651163 -0.365448504983389
sub-031534 -1.74418604651163 0 0 -0.365448504983389
sub-031535 8.25581395348837 1 8.25581395348837 -0.365448504983389
sub-031535 8.25581395348837 0 0 -0.365448504983389
sub-031536 13.2558139534884 1 13.2558139534884 0.634551495016611
sub-031536 13.2558139534884 0 0 0.634551495016611
sub-031537 17.2558139534884 1 17.2558139534884 0.634551495016611
sub-031537 17.2558139534884 0 0 0.634551495016611
sub-031538 16.2558139534884 1 16.2558139534884 -0.365448504983389
sub-031538 16.2558139534884 0 0 -0.365448504983389
sub-031539 20.2558139534884 1 20.2558139534884 -0.365448504983389
sub-031539 20.2558139534884 0 0 -0.365448504983389
sub-031540 -7.74418604651163 1 -7.74418604651163 -0.365448504983389
sub-031540 -7.74418604651163 0 0 -0.365448504983389
