ID age hemi ageHemi sex_demean
28619 -1.09412500000001 1 -1.09412500000001 0.6125
28619 -1.09412500000001 0 0 0.6125
28621 -6.904125 1 -6.904125 -0.3875
28621 -6.904125 0 0 -0.3875
28622 -12.904125 1 -12.904125 -0.3875
28622 -12.904125 0 0 -0.3875
28623 -7.194125 1 -7.194125 -0.3875
28623 -7.194125 0 0 -0.3875
28626 11.375875 1 11.375875 0.6125
28626 11.375875 0 0 0.6125
28627 9.795875 1 9.795875 -0.3875
28627 9.795875 0 0 -0.3875
28628 14.305875 1 14.305875 0.6125
28628 14.305875 0 0 0.6125
28630 0.865874999999996 1 0.865874999999996 0.6125
28630 0.865874999999996 0 0 0.6125
28631 -7.584125 1 -7.584125 -0.3875
28631 -7.584125 0 0 -0.3875
28633 8.935875 1 8.935875 0.6125
28633 8.935875 0 0 0.6125
28634 0.825874999999996 1 0.825874999999996 -0.3875
28634 0.825874999999996 0 0 -0.3875
28635 -14.004125 1 -14.004125 -0.3875
28635 -14.004125 0 0 -0.3875
28637 7.035875 1 7.035875 -0.3875
28637 7.035875 0 0 -0.3875
28640 -4.09412500000001 1 -4.09412500000001 -0.3875
28640 -4.09412500000001 0 0 -0.3875
